gamer	game	game.id	rating	own	prevowned	fortrade	want	wanttoplay	wanttobuy	wishlist	preordered	lastmodified	wishlistpriority
mikec	1830: The Game of Railroads and Robber Barons	421	8	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2013-03-22	NA
mikec	1st & Goal	95105	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2013-01-22	NA
mikec	7 Wonders	68448	7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2015-10-26	NA
mikec	Acquire	5	6	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2013-01-22	NA
mikec	Ad Astra	38343	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2013-09-02	2
mikec	Advanced Heroquest	1758	NA	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2013-02-22	NA
mikec	Agent Hunter	140865	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2017-03-19	NA
mikec	Airlines Europe	90419	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2017-02-06	2
mikec	Akrotiri	154458	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2017-01-15	2
mikec	Alien Frontiers	48726	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2013-02-13	5
mikec	Aliens	1770	NA	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2013-02-22	NA
mikec	Among the Stars	110277	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2013-03-01	2
